count,word,rank
3,cricket,1358.0
3,politics,1358.0
3,shorthanded,1358.0
3,four,1358.0
3,laid,1358.0
3,mediocre,1358.0
3,overnights,1358.0
3,uppermanagement,1358.0
3,intelligence,1358.0
3,monotonous,1358.0
3,dissatisfied,1358.0
3,horrendous,1358.0
3,accountability,1358.0
3,honest,1358.0
3,pointless,1358.0
3,snobby,1358.0
3,write,1358.0
3,wanting,1358.0
3,aka,1358.0
3,uneducated,1358.0
3,trust,1358.0
3,enjoyable,1358.0
3,relation,1358.0
3,theft,1358.0
3,managementrude,1358.0
3,caught,1358.0
3,lowest,1358.0
3,openly,1358.0
3,lazier,1358.0
3,field,1358.0
3,vary,1358.0
3,hope,1358.0
3,case,1358.0
3,struggle,1358.0
3,fellow,1358.0
3,key,1358.0
3,shady,1358.0
3,theyd,1358.0
3,looked,1358.0
3,realize,1358.0
3,respond,1358.0
3,thin,1358.0
3,related,1358.0
